Seq#,Blank,Sample_No,Original QC,Campaign,Drill Hole,Lab,Cert_No,Cert Date,Au,Ag,LDL Au,LDL Ag
1,CDN-BL-10,5014,Blank,2023,DDH_21_B_01,ALS,GU22020231 - Finalized,02/14/2022,0.29,2.5,0.05,5
2,CDN-BL-10,2098,Blank,2023,DDH_BB-19,ALS,GU22020231 - Finalized,02/14/2022,0.025,2.5,0.05,5
3,CDN-BL10,599001,Blank,2024,DDHB-23-020,ALS,,02/14/2022,0.025,0.25,0.05,5
4,CDN-BL10,599022,Blank,2024,DDHB-23-020,ALS,,02/14/2022,0.025,0.25,0.05,5
5,CDN-BL10,599044,Blank,2024,DDHB-23-020,ALS,,02/14/2022,0.025,0.25,0.05,5
6,CDN-BL10,599064,Blank,2024,DDHB-23-020,ALS,,02/14/2022,0.07,0.25,0.05,5
7,CDN-BL10,599087,Blank,2024,DDHB-23-020,ALS,,02/14/2022,0.025,0.25,0.05,5
8,CDN-BL10,599106,Blank,2024,DDHB-23-020,ALS,,02/14/2022,0.025,0.25,0.05,5
9,CDN-BL10,599127,Blank,2024,DDHB-23-020,ALS,,02/14/2022,0.07,0.25,0.05,5
10,CDN-BL10,599145,Blank,2024,DDHB-23-020,ALS,,02/14/2022,0.025,0.25,0.05,5
11,CDN-BL10,599168,Blank,2024,DDHB-23-020,ALS,,02/14/2022,0.025,0.25,0.05,5
12,CDN-BL10,599188,Blank,2024,DDHB-23-020,ALS,,02/14/2022,0.025,0.25,0.05,5
13,CDN-BL10,599211,Blank,2024,DDHB-23-021,ALS,,02/14/2022,0.025,0.25,0.05,5
14,CDN-BL10,599231,Blank,2024,DDHB-23-021,ALS,,02/14/2022,0.025,0.25,0.05,5
15,CDN-BL10,599252,Blank,2024,DDHB-23-021,ALS,,02/14/2022,0.025,0.25,0.05,5
16,CDN-BL10,599273,Blank,2024,DDHB-23-021,ALS,,04/14/2022,0.025,0.25,0.05,5
17,CDN-BL10,599291,Blank,2024,DDHB-23-021,ALS,,04/14/2022,0.025,0.25,0.05,5
18,CDN-BL10,599320,Blank,2024,DDHB-23-022,ALS,,04/14/2022,0.07,0.25,0.05,5
19,CDN-BL10,599343,Blank,2024,DDHB-23-022,ALS,,04/14/2022,0.07,0.25,0.05,5
20,CDN-BL10,599362,Blank,2024,DDHB-23-022,ALS,,04/14/2022,0.025,0.25,0.05,5
21,CDN-BL10,599383,Blank,2024,DDHB-23-022,ALS,,04/14/2022,0.025,0.25,0.05,5
22,CDN-BL10,599406,Blank,2024,DDHB-23-022,ALS,,04/14/2022,0.025,0.25,0.05,5
23,CDN-BL10,599424,Blank,2024,DDHB-23-022,ALS,,04/14/2022,0.025,0.25,0.05,5
24,CDN-BL10,599443,Blank,2024,DDHB-23-022,ALS,,04/14/2022,0.025,0.25,0.05,5
28,CDN-BL10,599534,Blank,2024,DDHB-23-023,ALS,,04/14/2022,0.025,0.25,0.05,5
29,CDN-BL10,599556,Blank,2024,DDHB-23-023,ALS,,04/14/2022,0.025,0.25,0.05,5
30,CDN-BL10,599575,Blank,2024,DDHB-23-023,ALS,,04/14/2022,0.025,0.25,0.05,5
31,CDN-BL10,599597,Blank,2024,DDHB-23-023,ALS,,04/14/2022,0.025,0.25,0.05,5
32,CDN-BL10,599632,Blank,2024,DDHB-23-024,ALS,,04/14/2022,0.025,0.25,0.05,5
33,CDN-BL10,599654,Blank,2024,DDHB-23-024,ALS,,04/14/2022,0.025,0.25,0.05,5
34,CDN-BL10,599675,Blank,2024,DDHB-23-024,ALS,,04/14/2022,0.025,0.25,0.05,5
35,CDN-BL10,599695,Blank,2024,DDHB-23-024,ALS,,04/14/2022,0.025,0.25,0.05,5
36,CDN-BL10,599739,Blank,2024,DDHB-23-024,ALS,,04/14/2022,0.025,0.25,0.05,5
37,CDN-BL10,599760,Blank,2024,DDHB-23-024,ALS,,03/14/2023,0.025,0.25,0.05,5
38,CDN-BL10,599792,Blank,2024,DDHB-23-025,ALS,,03/14/2023,0.025,0.25,0.05,5
39,CDN-BL10,599813,Blank,2024,DDHB-23-025,ALS,,03/14/2023,0.025,0.25,0.05,5
40,CDN-BL10,599835,Blank,2024,DDHB-23-025,ALS,,03/14/2023,0.025,0.25,0.05,5
41,CDN-BL10,599854,Blank,2024,DDHB-23-025,ALS,,03/14/2023,0.025,0.25,0.05,5
42,CDN-BL10,599876,Blank,2024,DDHB-23-025,ALS,,03/14/2023,0.025,0.25,0.05,5
43,CDN-BL10,599894,Blank,2024,DDHB-23-025,ALS,,03/14/2023,0.025,0.25,0.05,5
44,CDN-BL10,599917,Blank,2024,DDHB-23-026,ALS,,03/14/2023,0.025,0.25,0.05,5
45,CDN-BL10,599936,Blank,2024,DDHB-23-026,ALS,,03/14/2023,0.025,0.25,0.05,5
46,CDN-BL10,599963,Blank,2024,DDHB-23-026,ALS,,03/14/2023,0.025,0.25,0.05,5
47,CDN-BL10,599994,Blank,2024,DDHB-23-027,ALS,,03/14/2023,0.025,0.25,0.05,5
48,CDN-BL10,597020,Blank,2024,DDHB-23-027,ALS,,03/14/2023,0.025,0.25,0.05,5
49,CDN-BL10,597031,Blank,2024,DDHB-23-027,ALS,,03/14/2023,0.025,0.25,0.05,5
50,CDN-BL10,597050,Blank,2024,DDHB-23-027,ALS,,03/14/2023,0.025,0.25,0.05,5
51,CDN-BL10,597070,Blank,2024,DDHB-23-027,ALS,,03/14/2023,0.025,0.25,0.05,5
52,CDN-BL10,597086,Blank,2024,DDHB-23-027,ALS,,03/14/2023,0.025,0.25,0.05,5
53,,597098,Blank,2024,DDHB-23-028,ALS,,05/14/2023,0.025,0.25,0.05,5
54,CDN-BL10,597123,Blank,2024,DDHB-23-028,ALS,,05/14/2023,0.025,0.25,0.05,5
55,CDN-BL10,597144,Blank,2024,DDHB-23-028,ALS,,05/14/2023,0.025,0.25,0.05,5
56,CDN-BL10,597170,Blank,2024,DDHB-23-028,ALS,,05/14/2023,0.025,0.25,0.05,5
57,,597192,Blank,2024,DDHB-23-029,ALS,,05/14/2023,0.22,0.25,0.05,5
58,CDN-BL10,597221,Blank,2024,DDHB-23-029,ALS,,05/14/2023,0.025,0.25,0.05,5
59,CDN-BL10,597247,Blank,2024,DDHB-23-029,ALS,,05/14/2023,0.025,0.25,0.05,5
60,CDN-BL10,597279,Blank,2024,DDHB-23-029,ALS,,05/14/2023,0.025,0.25,0.05,5
61,CDN-BL10,597308,Blank,2024,DDHB-23-029,ALS,,05/14/2023,0.025,0.25,0.05,5
62,,597320,Blank,2024,DDHB-23-030,ALS,,05/14/2023,0.025,0.25,0.05,5
63,CDN-BL10,597339,Blank,2024,DDHB-23-030,ALS,,05/14/2023,0.025,0.25,0.05,5
64,CDN-BL10,597379,Blank,2024,DDHB-23-030,ALS,,05/14/2023,0.025,0.25,0.05,5
65,CDN-BL10,597425,Blank,2024,DDHB-23-030,ALS,,05/14/2023,0.025,0.25,0.05,5
66,CDN-BL10,597450,Blank,2024,DDHB-23-030,ALS,,08/14/2023,0.025,0.25,0.05,5
67,,597461,Blank,2024,DDHB-23-031,ALS,,08/14/2023,0.025,0.25,0.05,5
68,CDN-BL10,597487,Blank,2024,DDHB-23-031,ALS,,08/14/2023,0.025,0.25,0.05,5
69,CDN-BL10,597522,Blank,2024,DDHB-23-031,ALS,,08/14/2023,0.025,0.25,0.05,5
70,CDN-BL10,597550,Blank,2024,DDHB-23-031,ALS,,08/14/2023,0.025,0.25,0.05,5
71,CDN-BL10,597577,Blank,2024,DDHB-23-031,ALS,,08/14/2023,0.025,0.25,0.05,5
72,,597594,Blank,2024,DDHB-23-032,ALS,,08/14/2023,0.025,0.25,0.05,5
73,CDN-BL10,597609,Blank,2024,DDHB-23-032,ALS,,08/14/2023,0.025,0.25,0.05,5
74,CDN-BL10,597657,Blank,2024,DDHB-23-032,ALS,,08/14/2023,0.025,0.25,0.05,5
75,CDN-BL10,597690,Blank,2024,DDHB-23-032,ALS,,08/14/2023,0.025,0.25,0.05,5
76,CDN-BL10,597712,Blank,2024,DDHB-23-032,ALS,,08/14/2023,0.025,0.25,0.05,5
