Seq#,Blank,Sample_No,Original QC,Campaign,Drill Hole,Lab,Cert_No,Cert Date,Ag,Au,Cu,Pb,Zn,LDL Ag,LDL Au,LDL Cu,LDL Pb,LDL Zn
1,MER24-001-035,Blank,First Drill Campaign,MER24-001,ALS,HE24036516 - Finalized,02/09/2025,02/09/2025,0.0025,21.0,6.0,33,,0.01,1,1,5,0.01
2,MER24-001-055,Blank,First Drill Campaign,MER24-001,ALS,HE24036516 - Finalized,02/09/2025,02/09/2025,0.0025,22.0,7.0,31,,0.01,1,1,5,0.01
3,MER24-003-013,Blank,Second Drill Campaign,MER24-003,ALS,HE24110643 - Finalized,05/05/2024,05/05/2024,0.0025,22.0,7.0,35,,0.01,1,1,5,0.01
4,MER24-004-009,Blank,Second Drill Campaign,MER24-004,ALS,HE24110644 - Finalized,05/05/2024,05/05/2024,0.0025,19.0,4.0,36,,0.01,1,1,5,0.01
5,MER24-005-026,Blank,Second Drill Campaign,MER24-005,ALS,HE24110645 - Finalized,05/06/2024,05/06/2024,0.0025,20.0,5.0,37,,0.01,1,1,5,0.01
6,MER24-007-020,Blank,Second Drill Campaign,MER24-007,ALS,HE24118787 - Finalized,05/01/2025,05/01/2025,0.005,19.0,5.0,36,,0.01,1,1,5,0.01
7,MER24-007-048,Blank,Second Drill Campaign,MER24-007,ALS,HE24118787 - Finalized,05/01/2025,05/01/2025,0.005,20.0,5.0,36,,0.01,1,1,5,0.01
8,MER24-008-022,Blank,Second Drill Campaign,MER24-008,ALS,HE24118788 - Finalized,05/02/2025,05/02/2025,0.0025,20.0,4.0,36,,0.01,1,1,5,0.01
9,MER24-009-021,Blank,Second Drill Campaign,MER24-009,ALS,HE24127266 - Finalized,05/06/2026,05/06/2026,0.006,22.0,1.0,28,,0.01,1,1,5,0.01
10,MER24-010-030,Blank,Second Drill Campaign,MER24-010,ALS,HE24127267 - Finalized,05/01/2026,05/01/2026,0.0025,23.0,2.0,28,,0.01,1,1,5,0.01
11,MER24-011-017,Blank,Second Drill Campaign,MER24-011,ALS,HE24127268 - Finalized,05/01/2026,05/01/2026,0.006,23.0,1.0,29,,0.01,1,1,5,0.01
12,MER24-012-022,Blank,Second Drill Campaign,MER24-012,ALS,HE24127269 - Finalized,05/01/2026,05/01/2026,0.0025,23.0,1.0,29,,0.01,1,1,5,0.01
13,MER24-014-017,Blank,Second Drill Campaign,MER24-014,ALS,HE24127272 - Finalized,05/04/2026,05/04/2026,0.0025,23.0,3.0,28,,0.01,1,1,5,0.01
14,MER24-015-025,Blank,Second Drill Campaign,MER24-015,ALS,HE24127273 - Finalized,05/01/2026,05/01/2026,0.0025,23.0,2.0,29,,0.01,1,1,5,0.01
15,MER24-016-022,Blank,Second Drill Campaign,MER24-016,ALS,HE24132140 - Finalized,05/04/2026,05/04/2026,0.0025,22.0,2.0,27,,0.01,1,1,5,0.01
16,MER24-017-014,Blank,Second Drill Campaign,MER24-017,ALS,HE24132142 - Finalized,05/02/2026,05/02/2026,0.0025,22.0,1.0,27,,0.01,1,1,5,0.01
17,MER24-018-032,Blank,Second Drill Campaign,MER24-018,ALS,HE24133349 - Finalized,05/05/2026,05/05/2026,0.0025,22.0,1.0,27,,0.01,1,1,5,0.01
18,MER24-019-021,Blank,Second Drill Campaign,MER24-019,ALS,HE24133350 - Finalized,05/04/2026,05/04/2026,0.0025,24.0,1.0,30,,0.01,1,1,5,0.01
19,MER24-020-018,Blank,Second Drill Campaign,MER24-020,ALS,HE24133351 - Finalized,05/06/2026,05/06/2026,0.0025,23.0,1.0,,,0.01,1,1,5,0.01
20,MER24-021-032,Blank,Second Drill Campaign,MER24-021,ALS,HE24133352 - Finalized,05/05/2026,05/05/2026,0.0025,23.0,2.0,28,,0.01,1,1,5,0.01
