Seq#,Sample_No,"Duplicate
Sample_No",Campaign,QCType,Original QC,HoleID,From,To,Lab,Certificate_No,Certficate Date,Duplicate Lab,"Duplicate
Cert_No",Duplicate Cert Date,Ag,Duplicate Ag,Au,Duplicate Au,Pb,Duplicate Pb,Zn,Duplicate Zn
1,CRD20-17-060,CRD20-17-061,Unknown,CoreDuplicate,CRD20-17-061,CRD20-17,91.3,92.55,,HE20171444 - Finalized,20/09/2020,,HE20171444 - Finalized,20/09/2020,0.150,0.100,0.003,0.003,3.000,2.500,55.000,53.000
2,CRD20-47-060,CRD20-18-061,Unknown,CoreDuplicate,CRD20-18-061,CRD20-18,77.9,79,,ZA20176025 - Finalized,27/09/2020,,ZA20176025 - Finalized,27/09/2020,0.300,0.150,0.008,0.007,11.500,3.000,239.500,92.500
3,CRD20-19-060,CRD20-19-061,Unknown,CoreDuplicate,CRD20-19-061,CRD20-19,109.3,110.85,,GU20183886 - Finalized,09/10/2020,,GU20183886 - Finalized,09/10/2020,0.300,0.450,0.012,0.009,5.500,4.500,41.000,45.500
4,CRD20-20-060,CRD20-20-061,Unknown,CoreDuplicate,CRD20-20-061,CRD20-20,102.15,104.15,,HE20208724 - Finalized,21/11/2020,,HE20208724 - Finalized,21/11/2020,0.100,0.100,0.005,0.005,7.500,11.000,206.500,212.000
5,CRD20-20-120,CRD20-20-121,Unknown,CoreDuplicate,CRD20-20-121,CRD20-20,185.5,187.5,,HE20208724 - Finalized,21/11/2020,,HE20208724 - Finalized,21/11/2020,0.100,0.100,0.003,0.003,2.500,2.000,43.500,41.500
6,CRD20-21-060,CRD20-21-061,Unknown,CoreDuplicate,CRD20-21-061,CRD20-21,127.55,129.54,,HE20210655 - Finalized,18/11/2020,,HE20210655 - Finalized,18/11/2020,0.100,0.550,0.003,0.007,4.000,7.500,48.500,28.500
7,CRD20-22-060,CRD20-22-061,Unknown,CoreDuplicate,CRD20-22-061,CRD20-22,118.9,120.85,,HE20268248 - Finalized,18/01/2021,,HE20268248 - Finalized,18/01/2021,1.050,1.250,0.014,0.030,55.000,46.500,288.000,615.000
8,CRD20-22-120,CRD20-22-121,Unknown,CoreDuplicate,CRD20-22-121,CRD20-22,226.7,228.2,,HE20268248 - Finalized,18/01/2021,,HE20268248 - Finalized,18/01/2021,0.600,0.450,0.011,0.004,9.500,7.500,48.500,50.000
9,CRD20-23-060,CRD20-23-061,Unknown,CoreDuplicate,CRD20-23-061,CRD20-23,91.6,93.6,,HE20269497 - Finalized,22/01/2021,,HE20269497 - Finalized,22/01/2021,0.100,0.100,0.003,0.003,10.500,4.000,49.000,46.000
10,CRD20-24-060,CRD20-24-061,Unknown,CoreDuplicate,CRD20-24-061,CRD20-24,158.3,160.3,,HE20270572 - Finalized,21/01/2021,,HE20270572 - Finalized,21/01/2021,0.100,0.100,0.003,0.004,10.500,13.500,60.500,66.000
11,CRD20-25-060,CRD20-25-061,Unknown,CoreDuplicate,CRD20-25-061,CRD20-25,110.5,111.2,,HE20272138 - Finalized,28/01/2021,,HE20272138 - Finalized,28/01/2021,1.500,2.050,0.079,0.039,7.000,11.500,162.000,162.500
12,CRD20-26-060,CRD20-26-061,Unknown,CoreDuplicate,CRD20-26-061,CRD20-26,132.5,134.5,,HE20272966 - Finalized,27/01/2021,,HE20272966 - Finalized,27/01/2021,0.100,0.450,0.003,0.004,8.000,9.000,49.500,38.000
13,CRD20-27-060,CRD20-27-061,Unknown,CoreDuplicate,CRD20-27-061,CRD20-27,62.2,63.4,,ZA20275032 - Finalized,29/01/2021,,ZA20275032 - Finalized,29/01/2021,0.150,0.100,0.003,0.003,52.500,33.500,680.000,321.000
14,CRD20-28-060,CRD20-28-061,Unknown,CoreDuplicate,CRD20-28-061,CRD20-28,85.7,87.45,,GU20283158 - Finalized,08/02/2021,,GU20283158 - Finalized,08/02/2021,0.100,0.100,0.003,0.003,6.000,5.500,63.500,57.500
15,CRD20-28-120,CRD20-28-121,Unknown,CoreDuplicate,CRD20-28-121,CRD20-28,185,187,,GU20283158 - Finalized,08/02/2021,,GU20283158 - Finalized,08/02/2021,0.100,0.250,0.009,0.005,7.500,8.000,99.000,106.500
16,CRD20-29-060,CRD20-29-061,Unknown,CoreDuplicate,CRD20-29-061,CRD20-29,115.85,116.8,,GU20283140 - Finalized,09/02/2021,,GU20283140 - Finalized,09/02/2021,0.700,0.550,0.020,0.013,19.500,14.000,235.500,227.500
17,CRD20-29-120,CRD20-29-121,Unknown,CoreDuplicate,CRD20-29-121,CRD20-29,178,179.4,,GU20283140 - Finalized,09/02/2021,,GU20283140 - Finalized,09/02/2021,0.850,1.000,0.005,0.009,10.000,12.000,1490.000,5000.000
18,CRD20-30-060,CRD20-30-061,Unknown,CoreDuplicate,CRD20-30-061,CRD20-30,103.8,105.05,,HE20284806 - Finalized,07/02/2021,,HE20284806 - Finalized,07/02/2021,0.150,1.400,0.008,0.054,24.000,44.000,337.000,154.000
19,CRD20-30-120,CRD20-30-121,Unknown,CoreDuplicate,CRD20-30-121,CRD20-30,167.15,167.6,,HE20284806 - Finalized,07/02/2021,,HE20284806 - Finalized,07/02/2021,5.500,6.050,0.018,0.009,189.000,56.500,5000.000,5000.000
20,CRD20-47-060,CRD20-32-061,Unknown,CoreDuplicate,CRD20-32-061,CRD20-32,77.9,79,,HE20275649 - Finalized,06/02/2021,,HE20275649 - Finalized,06/02/2021,0.300,19.550,0.008,0.200,11.500,44.000,239.500,197.000
21,CRD20-33-060,CRD20-33-061,Unknown,CoreDuplicate,CRD20-33-061,CRD20-33,83.8,84.3,,CH20289075 - Finalized,25/01/2021,,CH20289075 - Finalized,25/01/2021,0.100,0.100,0.003,0.003,2.500,2.500,88.500,95.000
22,CRD20-33-120,CRD20-33-121,Unknown,CoreDuplicate,CRD20-33-121,CRD20-33,150.2,151.35,,CH20289075 - Finalized,25/01/2021,,CH20289075 - Finalized,25/01/2021,0.300,0.400,0.004,0.003,1.000,1.000,77.000,89.500
23,CRD20-34-060,CRD20-34-061,Unknown,CoreDuplicate,CRD20-34-061,CRD20-34,117.8,118.8,,HE20289443 - Finalized,20/02/2021,,HE20289443 - Finalized,20/02/2021,1.350,0.850,0.006,0.006,261.500,35.500,710.000,278.000
24,CRD20-35-060,CRD20-35-061,Unknown,CoreDuplicate,CRD20-35-061,CRD20-35,144.4,145.65,,HE20287127 - Finalized,19/02/2021,,HE20287127 - Finalized,19/02/2021,3.500,1.400,0.110,0.074,3.500,7.000,38.000,58.000
25,CRD20-36-060,CRD20-36-061,Unknown,CoreDuplicate,CRD20-36-061,CRD20-36,148.65,150.05,,HE20290253 - Finalized,18/02/2021,,HE20290253 - Finalized,18/02/2021,2.500,1.000,0.013,0.007,44.000,20.500,515.000,108.500
26,CRD20-37-060,CRD20-37-061,Unknown,CoreDuplicate,CRD20-37-061,CRD20-37,129.6,131.4,,GU20292751 - Finalized,08/02/2021,,GU20292751 - Finalized,08/02/2021,0.100,0.100,0.003,0.003,4.500,5.000,32.000,53.000
27,CRD20-38-062,CRD20-38-061,Unknown,CoreDuplicate,CRD20-38-061,CRD20-38,74.1,74.6,,HE20294495 - Finalized,20/02/2021,,HE20294495 - Finalized,20/02/2021,1.950,1.350,0.022,0.020,204.000,157.000,241.500,265.000
28,CRD20-40-060,CRD20-40-061,Unknown,CoreDuplicate,CRD20-40-061,CRD20-40,123.7,125.3,,ZA20297693 - Finalized,24/02/2021,,ZA20297693 - Finalized,24/02/2021,0.150,0.200,0.003,0.003,4.000,3.000,139.500,140.000
29,CRD20-41-060,CRD20-41-061,Unknown,CoreDuplicate,CRD20-41-061,CRD20-41,84.6,86.15,,ZA20301737 - Finalized,25/02/2021,,ZA20301737 - Finalized,25/02/2021,0.650,0.300,0.018,0.005,24.500,7.000,5000.000,2190.000
30,CRD20-45-060,CRD20-45-061,Unknown,CoreDuplicate,CRD20-45-061,CRD20-45,79.85,81.4,,HE20299877 - Finalized,21/02/2021,,HE20299877 - Finalized,21/02/2021,0.100,0.100,0.007,0.014,7.500,7.000,145.000,162.500
31,CRD20-46-039,CRD20-46-040,Unknown,CoreDuplicate,CRD20-46-040,CRD20-46,97.9,98.75,,CH20300865 - Finalized,22/02/2021,,CH20300865 - Finalized,22/02/2021,2.150,1.750,0.032,0.079,405.500,293.500,5000.000,5000.000
32,CRD20-47-060,CRD20-47-061,Unknown,CoreDuplicate,CRD20-47-061,CRD20-47,77.9,79,,HE20301092 - Finalized,28/02/2021,,HE20301092 - Finalized,28/02/2021,0.300,5.450,0.008,0.172,11.500,45.000,239.500,5000.000
33,CRD21-48-085,CRD21-48-086,Unknown,CoreDuplicate,CRD21-48-086,CRD21-48,234.5,235.75,,HE21028898 - Finalized,23/03/2021,,HE21028898 - Finalized,23/03/2021,3.150,1.750,0.049,0.033,26.500,11.500,3555.000,2730.000
34,CRD21-56-062,CRD21-56-061,Unknown,CoreDuplicate,CRD21-56-061,CRD21-56,170.7,172.5,,HE21038650 - Finalized,01/04/2021,,HE21038650 - Finalized,01/04/2021,0.900,4.850,0.005,0.011,45.500,20.000,194.500,182.000
35,CRD21-59-060,CRD21-59-061,Unknown,CoreDuplicate,CRD21-59-061,CRD21-59,228.05,229,,HE21055543 - Finalized,07/05/2021,,HE21055543 - Finalized,07/05/2021,0.800,0.750,0.020,0.007,167.500,55.500,5000.000,2430.000
36,CRD22-073-072,CRD22-073-073,Unknown,CoreDuplicate,CRD22-073-073,CRD22-73,211.55,212.8,,HE22362647 - Finalized,04/02/2023,,HE22362647 - Finalized,04/02/2023,12.950,7.150,0.025,0.022,5000.000,5000.000,5000.000,5000.000
37,CRD22-073-085,CRD22-073-086,Unknown,CoreDuplicate,CRD22-073-086,CRD22-73,227.4,228.9,,HE22362647 - Finalized,04/02/2023,,HE22362647 - Finalized,04/02/2023,0.500,0.500,0.029,0.065,14.500,14.500,5000.000,5000.000
38,CRD22-083-060,CRD22-083-061,Unknown,CoreDuplicate,CRD22-083-061,CRD22-83,134.2,135.5,,HE23017075 - Finalized,06/03/2023,,HE23017075 - Finalized,06/03/2023,0.400,0.500,0.028,0.035,9.000,11.500,56.000,95.000
