Seq#,Sample_No,"Duplicate
Sample_No",Campaign,QCType,Original QC,HoleID,From,To,Lab,Certificate_No,Certficate Date,Duplicate Lab,"Duplicate
Cert_No",Duplicate Cert Date,Ag,Duplicate Ag,Au,Duplicate Au,Cu,Duplicate Cu,Pb,Duplicate Pb,Zn,Duplicate Zn
1,853008,853091,First Drill Campaign,RC-Chip_Duplicate,853091,MEZ-21-001,9.15,10.68,,GU21154007 - Finalized,16/08/2021,,GU21154007 - Finalized,16/08/2021,0.300,0.250,0.007,0.008,23.000,20.500,24.500,22.000,62.000,55.000
2,853014,853092,First Drill Campaign,RC-Chip_Duplicate,853092,MEZ-21-001,16.78,18.30,,GU21154007 - Finalized,16/08/2021,,GU21154007 - Finalized,16/08/2021,0.350,0.250,0.007,0.008,28.500,26.500,18.000,18.500,72.000,66.000
3,853050,853093,First Drill Campaign,RC-Chip_Duplicate,853093,MEZ-21-001,67.10,68.63,,GU21154007 - Finalized,16/08/2021,,GU21154007 - Finalized,16/08/2021,0.450,0.250,0.020,0.018,20.000,19.000,19.500,24.000,132.500,133.000
4,853072,853094,First Drill Campaign,RC-Chip_Duplicate,853094,MEZ-21-001,97.60,99.13,,GU21154007 - Finalized,16/08/2021,,GU21154007 - Finalized,16/08/2021,0.250,0.250,0.003,0.003,21.500,20.500,20.500,23.500,140.000,141.000
5,853123,853240,First Drill Campaign,RC-Chip_Duplicate,853240,MEZ-21-002,38.13,39.65,,GU21154008 - Finalized,28/08/2021,,GU21154008 - Finalized,28/08/2021,0.900,0.700,0.011,0.011,27.500,24.000,23.000,19.000,112.000,96.500
6,853142,853241,First Drill Campaign,RC-Chip_Duplicate,853241,MEZ-21-002,64.05,65.58,,GU21154008 - Finalized,28/08/2021,,GU21154008 - Finalized,28/08/2021,0.750,1.000,0.005,0.004,27.500,28.000,190.500,195.000,345.500,348.500
7,853163,853242,First Drill Campaign,RC-Chip_Duplicate,853242,MEZ-21-002,93.03,94.55,,GU21154008 - Finalized,28/08/2021,,GU21154008 - Finalized,28/08/2021,1.100,1.100,0.020,0.018,36.500,32.000,334.500,316.500,635.000,600.000
8,853173,853243,First Drill Campaign,RC-Chip_Duplicate,853243,MEZ-21-002,106.75,108.28,,GU21154008 - Finalized,28/08/2021,,GU21154008 - Finalized,28/08/2021,0.250,0.250,0.029,0.036,47.000,44.000,34.500,36.000,232.500,239.500
9,853185,853244,First Drill Campaign,RC-Chip_Duplicate,853244,MEZ-21-002,123.53,125.05,,GU21154008 - Finalized,28/08/2021,,GU21154008 - Finalized,28/08/2021,6.100,5.950,0.038,0.029,765.000,840.000,287.500,287.000,1705.000,1825.000
10,853204,853245,First Drill Campaign,RC-Chip_Duplicate,853245,MEZ-21-002,149.45,150.98,,GU21154008 - Finalized,28/08/2021,,GU21154008 - Finalized,28/08/2021,0.450,0.350,0.008,0.007,46.000,32.000,18.000,15.500,136.000,113.000
11,853223,853246,First Drill Campaign,RC-Chip_Duplicate,853246,MEZ-21-002,175.38,176.90,,GU21154008 - Finalized,28/08/2021,,GU21154008 - Finalized,28/08/2021,0.600,0.600,0.015,0.015,26.500,27.500,16.500,17.500,22.500,23.000
